"Record_@setEntry","Record_Access-Restrictions","Record_Access-Restrictions_0","Record_Access-Restrictions_1","Record_AccessionNumber","Record_AccessionNumber_0","Record_AccessionNumber_1","Record_Archives-Location","Record_Archives-Location_0","Record_Archives-Location_1","Record_Archives-Location_2","Record_Archives-Location_3","Record_Date-Received","Record_Date-Received_0","Record_Date-Received_1","Record_Description","Record_Description_0","Record_Description_1","Record_Description_10","Record_Description_11","Record_Description_12","Record_Description_13","Record_Description_14","Record_Description_15","Record_Description_16","Record_Description_17","Record_Description_18","Record_Description_19","Record_Description_2","Record_Description_20","Record_Description_21","Record_Description_22","Record_Description_23","Record_Description_24","Record_Description_25","Record_Description_26","Record_Description_27","Record_Description_28","Record_Description_29","Record_Description_3","Record_Description_30","Record_Description_31","Record_Description_32","Record_Description_33","Record_Description_34","Record_Description_35","Record_Description_36","Record_Description_37","Record_Description_38","Record_Description_39","Record_Description_4","Record_Description_40","Record_Description_41","Record_Description_42","Record_Description_43","Record_Description_44","Record_Description_45","Record_Description_46","Record_Description_47","Record_Description_48","Record_Description_49","Record_Description_5","Record_Description_50","Record_Description_51","Record_Description_52","Record_Description_53","Record_Description_54","Record_Description_55","Record_Description_56","Record_Description_57","Record_Description_58","Record_Description_59","Record_Description_6","Record_Description_60","Record_Description_61","Record_Description_62","Record_Description_7","Record_Description_8","Record_Description_9","Record_Donor-Office","Record_Donor-Office_0","Record_Donor-Office_1","Record_Donor-Office_2","Record_Donor-Office_3","Record_Extent","Record_Extent_0","Record_Extent_1","Record_Inclusive-Date","Record_Inclusive-Date_0","Record_Inclusive-Date_1","Record_Inclusive-Date_2","Record_Notes","Record_Notes_0","Record_Notes_1","Record_Notes_2","Record_Notes_3","Record_Title","Record_Title_0","Record_Title_1","Record_Title_2","Record_Title_3"
"459","None","","","2003-67","","","Publications Box 1","","","","","1991","","","International Student handbooks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1975-1991","","","","None","","","","","None","","","",""
"460","None","","","2003-68","","","Publications Box 1, file no. 3","","","","","2003","","","Mature Students Handbook","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","ca. 1990","","","","None","","","","","None","","","",""
"461","None","","","2003-69","","","Publications box 1, file 4","","","","","2003","","","Promotional information about Mount Saint Vincent University","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1980-2000","","","","None","","","","","None","","","",""
"462","None","","","2003-70","","","Publications Box 1, file 5","","","","","2003","","","Student handbooks for 1949, 1951, 1953, 1963 and 1966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1949-1966","","","","None","","","","","None","","","",""
"463","None","","","2003-71","","","Publications Box 1, file 6","","","","","None","","","Student handbooks for 1967-1979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1967-1979","","","","None","","","","","None","","","",""
"464","None","","","2003-72","","","Publications Box 1, File 7","","","","","None","","","Student Handbooks for 1979-1985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1979-1985","","","","None","","","","","None","","","",""
"465","None","","","2003-73","","","Publications Box 1, File 8","","","","","1991-2003","","","None","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1986-1992","","","","None","","","","","None","","","",""
"466","none","","","2003-74","","","Publications box 1, file 9","","","","","None","","","Student Union Calendar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1980-1987","","","","None","","","","","None","","","",""
"467","None","","","2003-75","","","Publications Box 1, file 10","","","","","None","","","Off-Campus Survival guides","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1988-1989","","","","None","","","","","None","","","",""
"468","none","","","2003-76","","","Publications box 1, file 11","","","","","None","","","Timetables","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1981-1990","","","","None","","","","","None","","","",""
"469","None","","","2003-77","","","Unit A, Bay 5, Shelf 6","","","","","March 31, 2003","","","The Newsletter - MSVU Faculty Association, for November 1997, December 2001 and November 2002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1997-2002","","","","None","","","","","Faculty Association","","","",""
"470","None","","","2003-78","","","","Unit A, Bay 5, Shelf 3","Unit E, Bay 2, Shelf 5","","","2003","","","","Query, the MSVU Computer Center newsletter/bulletin","Technical Support bulletin, February 1996","","","","","","","","","","","Training manuals for software published by MSVU Computing and Communications Services, including The University Server, Microlab and Microbay policies and procedures, Gold-Mail, VAX Electronic Mail system, Kermit & Snipper, EVE Editor, Introductions to WordPerfect, 5.0 and 5.1, Introduction to DOS 3.3, Introduction to Lotus 1-2-3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1991-1993, 1996","","","","None","","","","","Information Technology and Services","","","",""
"471","None","","","2003-79","","","Unit E, Bay 1, Shelf 2","","","","","March 31, 2003","","","","Brochure for ""Gather Beneath the Banner"", and exhibit of political and religious banners of the Women's Christian Temperance Union, which came to the MSVU art gallery","Blind Stairs:  Janice Gurney, Mary Scott & Arlene Stamp, brochure for an exhibit at the MSVU art gallery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","2000-2003","","","","None","","","","","Art Gallery","","","",""
"472","None","","","2003-80","","","Unit E, Bay 2, Shelf 5","","","","","March 31, 2003","","","A pamphlet describing the Freda Wales Walking Trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 folder","","","2002","","","","FC-16","","","","","Athletics/Fitness Centre","","","",""
"473","None","","","2003-81","","","Publications","","","","","March 2003","","","Folia Montana, Spring/Summer 2002, Fall/Winter 2002/2003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","2002-2003","","","","None","","","","","None","","","",""
"474","None","","","2003-82","","","Unit C, Bay 5, Shelf 5","","","","","March 2003","","","President's Annual Report to the Community","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","1 file folder","","","August 2002","","","","CC-36","","","","","Biology","","","",""
"475","None","","","2003-83","","","IC-13","","","","","March 31, 2003","","","MSVU Library Holdings List","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","None","","","1992, 1999","","","","None","","","","","None","","","",""
"476","None","","","2003-84","","","Unit A, Bay 5, Shelf 3","","","","","2003","","","Exams and course outlines for Philosopy and Religion, taught by Sister Frances Carmel Regan.   Donated to the archives after the death of Sister Frances Carmel (she died October 3, 1996).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1949-1964","","","","None","","","","","None","","","",""
"477","None","","","2003-86","","","Unit A, Bay 5, Shelf 3","","","","","2003","","","","Bits and pieces of material including:","A report on the Police on Campus by the Senate Discipline Committee","","","","","","","","","","","58th Annual Baccalaureate Exercises of Brescia College","","","","","","","","","","","Saint Mary's University convocation 1980","","","","","","","","","","","MSVU Art Gallery brochures September-December 1979","","","","","","","","","","","MSVU Timetable 1980-1981","","","","","","","","","","","","","","","","","","None","","","","","None","","","1972-1981","","","","None","","","","","None","","","",""
"478","","list of students under academic probation is restricted","exams are restricted","2003-87","","","Unit A, Bay 5, Shelf 3","","","","","1997","","","","Material from Ivan Blake, director of the Mount's cooperative education program","Convocation clippings 1980","","","","","","","","","","","Photos and slides from Co-operative Education, the bulk are unidentified but relate to student work-terms","","","","","","","","","","","Pictures from Ivan Blake's files, Co-Op Education, 1980's","","","","","","","","","","","Ivan Blake - Canadian Studies Exams from Co-op Education files","","","","","","","","","","","Reserve readings","","","","","","","","","","","Proposal, opening and Information concerning the MSVU Life Planning and Learning Centre","","","","Newspaper clippings re: Life Planning and Learning Centre and influential women","33 rpm vinyl recording of Nell Hall:  Suffragette, Reminiscences of an English Militant:  Mrs. Nell Hall-Humpherson, made by Pamela Harris, 1973 (stored in oversized box), from Joyce Kennedy's files 1997 (Life Planning and Learning Centre, Y.A.E. Outreach files","","Ivan Black, Continuing Education and Professor of Canadian Studies","","","","","None","","","1979-1984","","","","None","","","","","None","","","",""
"479","None","","","2003-88","","","Unit A, Bay 5, Shelf 3","","","","","2003","","","Minutes of a meeting of the Occupational Health and Safety Committee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","May 23, 1989","","","","None","","","","","None","","","",""
"480","none","","","2003-89","","","Unit A, Bay 5, Shelf 3","","","","","2003","","","Correspondence between L. Bianchini (Librarian) and Professor Wayne Ingalls re:  S.O.S. and The Maritime Provinces Higher Education Commission Funding Formula Review (1988)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1987-1988","","","","None","","","","","None","","","",""
"481","None","","","2003-90","","","Unit A, Bay 5, Shelf 3","","","","","2003","","","Mount Saint Vincent Alumnae Association Calendar 1979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1979","","","","None","","","","","None","","","",""
"482","None","","","2003-91","","","Unit F, Bay 1, Shelf 4","","","","","2003","","","""My Father's House"" poetry by Barbara Drizen and drawings by Claire Watson","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","ca. 1990","","","","None","","","","","None","","","",""
"483","None","","","2003-92","","","Unit A, Bay 5, Shelf 3","","","","","2003","","","Material compiled by the Women's Library Centenary Collection, including a list of donors, opening of the Collection on December 10, 1967; correspondence of Sister Francis Dolores and Sister  Therese Carmel, University Librarians of Mount Saint Vincent University; publications offered to the Collection; photographs of the opening; files that include information, correspondence, and photographs of the women approached about the Centenary project, including:  Claire Harris MacIntosh, Mrs. Robert Ogilvie (Doris Dyer), Charlotte Whitton, the speeches of  Ellen Fairclough;  convocation address by Norah Willis Michener; speeches by Hon. Judy LaMarsh; speeches by Alderman Abbie Lane (Women in Canada, Bogota Conference, UN); Women's Liberal Federation of Canada.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Library","","","","","None","","","1957-1968","","","","None","","","","","None","","","",""
"484","Consult FOIPOP officer before releasing student records","","","2003-93","","","Unit B, Bay 1, Shelf 4","","","","","2003","","","Mount Saint Vincent College, School of Library Science list of graduates 1939-1954 and Library School student records 1947-1962.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1939-1962","","","","None","","","","","None","","","",""
"485","None","","","2003-94","","","Unit B, Bay 1, Shelf 4","","","","","July 20, 1994","","","Two binders used by students involved with the Oxford Summer School program (a cooperative program between MSVU and Oxford, instigated in 1983), one labelled Wordsworth, the other labelled Coleridge and Keats.  The binders were kept at the Library reserve desk and contain articles by and about the above mentioned poets.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sister Geraldine Anthony","","","","","None","","","1988-1990","","","","None","","","","","None","","","",""
"486","None","","","1981-1","","","Publications","","","","","October 1, 1981","","","Student University newspaper The Picaro, Vol. 17, no 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Student Union","","","","","None","","","September 29, 1981","","","","None","","","","","None","","","",""
"487","None","","","1981-2","","","Unit C, Bay 5, Shelf 2","","","","","October 1, 1981","","","Homecoming 1981 - Folder includes an agenda of activities and banquet info, memorial mass prayer and ""Class of 36"" booklet.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alumnae","","","","","None","","","September 1981","","","","CC 23","","","","","Alumnae Relations","","","",""
"488","Contact Education Department before releasing","","","1981-3","","","FB 23","","","","","October 1, 1981","","","Education Department: Minutes and correspondence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Education Department","","","","","None","","","1970-1974","","","","None","","","","","None","","","",""
"489","None","","","1981-4","","","","BB 21 DESTROYED BY FLOOD FEBRUARY 1996","BA 32 DESTROYED BY FLOOD FEBRUARY 1996","","","October 1, 1981","","","Correspondence and promotional material for the MSVU Continuing Education Department","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Continuing Education","","","","","None","","","1976-1979","","","","None","","","","","None","","","",""
"490","Consult FOIPOP Officer","","","1981-5","","","Unit C, Bay 5, Shelf 6","","","","","October 1, 1981","","","","Biology Department -  Courses offered and course outlines","Minutes of meetings, promotional materials","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Biology Department","","","","","? file folders","","","1968-1980","","","","CC-38","","","","","Biology","","","",""
"491","None","","","1981-6","","","FB-13","","","","","October 1, 1981","","","Promotional material for Co-operative program, including student handbook, employer handbook, newsletter, guideilnes for a workterm report, evaluation forms.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Co-operative Education","","","","","None","","","1980-1981","","","","None","","","","","None","","","",""
"492","None","","","1981-7","","","Scrapbooks","","","","","October 5, 1981","","","Mount Saint Vincent University related newspaper clippings compiled possibly by Public Affairs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","September to October 1981","","","","None","","","","","None","","","",""
"493","None","","","1981-8","","","GC-52","","","","","October 7, 1981","","","Public Lecture Promotional material, ""Dostoevsky and Philosophy"" presented by Professor Frederick Copleston","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Relations","","","","","None","","","September 29, 1981","","","","None","","","","","Public Affairs","","","",""
"494","None","","","1981-09","","","Unit C, Bay 4, Shelf 7","","","","","October 7, 1981","","","","A work paper on issues concerning women at the International, National and Local news.  Workshop sponsored by Co-Ordinator's Office, Status of Women and Mount Saint Vincent University's Centre for Continuing Education","Series of articles on women with bibliography of various books included

Box 1 Canadian Association of University Teachers (CAUT)
Academic Freedom and Tenure
Acadia University
AAU (Association of Atlantic Universities)
AAUP
AUCC
Alberta, University of
Anti-Inflation Board, 1975-1976
Anti-Inflation Board (Regulations, releases, etc.)
Board of Directors
British Columbia, University of
Budget and Fees
Canadianization
Carleton University
Collective Bargaining
Constitution
Copyrights and Patents
Dalhousie University
Federal and Provincial Funding
Fiscality
Relations with Government
Human Rights
Immigration
Immigration Regulations
Labour Relations
Laval Univeristy
Librarians (status of)
Lobbying of Government
Human Rights
Immigration
Immigration Regulations
Labour Relations
Laval University
Librarians (status of)
Lobbying of Government
Manitoba, University of
Membership lists
Memorial University
Minutes of Board Meetings
Minutes of Council Meetings
Minutes of Executive Committee
Moncton, University of
New Brunswick
Newsletters
Notre Dame University
OCUFA
OECD
Ottawa, University of

Box 2 Canadian Association of University Teachers (CAUT)
Part-time Faculty
Prince Edward Island
Prince Edward Island, University of
Regina, University of
Research
Sainte Boniface, College de
Salary and Fringe Benefits
Simon Fraser University
Staff Openings and Changes
Student Aid
Status of Women 1976
Status of Women 1975
Status of Women, Clippings
UNESCO
Winnipeg, University of
Miscellaneous

Nova Scotia Council of University Faculty Association (NSCUFA)
FNBFA
MCUFA
Minutes
Relations with CAUT
Relatiosn with Government

MSVU Faculty Association
Local Correspondence
Administrative Faculty Salary Committee
Minutes
Consistution
Appeals and Workload
Faculty Lists
Minutes, Executive
Other Faculty Associations
Salary and Fringe Benefits
Student Evaluation Forms
Teaching, Committee on
Treasurer Reports","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Continuing Education","","","","","2 boxes","","","1964-1981","","","","CC-10 and CC-11
File list in boxes","","","","","Faculty Association","","","",""
"495","None","","","1981-10","","","Scrapbooks","","","","","October 7, 1981","","","Newspaper clippings possibly compiled by MSVU PR, including clipping on Sister Greta Conrad, Faculty, guest speaker at luncheon held by the Professional Engineers Wives Association, and Part-Time Enrolment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1981","","","","None","","","","","None","","","",""
"496","none","","","1981-11","","","Unit E, Bay 2, Shelf 6","","","","","October 7, 1981","","","Promotional material for Elizabeth Seton Lectures given by Reverend John L. McKenzie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Public Affairs","","","","","1 folder","","","October 6-7, 1981","","","","GC-32","","","","","None","","","",""
"497","None","","","1981-12","","","Publications","","","","","October 7, 1981","","","Student Union newspaper The Picaro, Vol. 17, no. 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Student union","","","","","None","","","October 6, 1981","","","","None","","","","","None","","","",""
"498","None","","","1981-13","","","BA-53","","","","","October 7, 1981","","","Faculty List","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","1970-1971, 197-1980","","","","None","","","","","None","","","",""
"499","None","","","1981-14","","","?","","","","","October 7, 1981","","","Material of Registered Nurses Association of Nova Scotia from Sister Lua, Biology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Biology","","","","","None","","","1978-1979","","","","None","","","","","None","","","",""
"500","None","","","1981-15","","","GC-93 (missing)","","","","","October 7, 1981","","","Research Bulletin, No. 11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dr. Wayne Ingalls, Director of Research and Special Projects","","","","","None","","","March 5, 1981","","","","None","","","","","None","","","",""
"501","None","","","1981-16","","","??","","","","","October 7, 1981","","","Agenda of Awards Banquet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Student Union","","","","","None","","","March 14, 1981","","","","None","","","","","None","","","",""
"502","None","","","1981-17","","","Unit C, Bay 5, Shelf 2","","","","","October 7, 1981","","","Homecoming 1979 booklet describing graduates of 1929","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alumnae","","","","","None","","","September 1979","","","","CC 23","","","","","Alumnae Relations","","","",""
"503","None","","","1981-18","","","Box 21 (was BA-10),  folder #25","","","","","October 8, 1981","","","Dean's List","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Office of the Academic Dean","","","","","None","","","June 1980","","","","None","","","","","None","","","",""
"504","None","","","1981-19","","","FC-71","","","","","October 8, 1981","","","Liturgical Celebrations","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chaplain's Office","","","","","None","","","1979-1980","","","","None","","","","","None","","","",""
"505","None","","","1981-20","","","BA-53","","","","","October 8, 1981","","","Faculty List for evening Classes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Academic Vice President's Office","","","","","None","","","1974-1975","","","","None","","","","","None","","","",""
"506","None","","","1981-21","","","BA-13 (this box is empty, don't know where this material is)","","","","","October 8, 1981","","","Submission to Maritime Provinces Higher Education Commission on Faculty Salaries at Mount Saint Vincent University","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","January 24, 1980","","","","None","","","","","None","","","",""
"507","None","","","1981-22","","","BA-13 (this box is empty, don't know where this material is)","","","","","October 8, 1981","","","Constitution of Mount Saint Vincent University Faculty Association","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Faculty","","","","","None","","","March 23, 1979","","","","None","","","","","None","","","",""
"508","None","","","1981-23","","","BA-13 (this box is empty, don't know where this material is)","","","","","October 8, 1981","","","Moutn Saint Vincent College Standing Committess and Faculty Workshops on College Problems.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Faculty","","","","","None","","","1955, 1957","","","","None","","","","","None","","","",""
"509","None","","","1981-24","","","Publications","","","","","October 8, 1981","","","The Connection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","October 5, 1981","","","","None","","","","","None","","","",""
"510","Not to be released without permission of Head Librarian","","","2003-95","","","Unit B, Bay 1, Shelf 4","","","","","April 7, 2003","","","Files of the University Librarian","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Head Librarian","","","","","None","","","1992-2001","","","","None","","","","","None","","","",""
"511","Consult FOIPOP Officer","","","2003-96","","","Unit B, Bay 1, Shelf 4","","","","","April 8, 2003","","","Minutes of meetings and memorandums of the Administrative and Professional Association of MSVU (APA)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","came from Linda Degrace, Human Resources, originally received from Madelyne Doody who received it from Sharon Davis","","","","","None","","","1988-1989","","","","None","","","","","None","","","",""
"512","None","","","2003-97","","","Unit B, Bay 1, Shelf 4","","","","","8 April 2003","","","Painting of the Bedford Basin, entitled ""Evening on the Basin"" by Joan Craigie, Alumnae.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Framed pictures dropped off by Physical Plant, had been in storage for 9 or 10 years, possibly taken down from walls of Rosaria during renovation. The majority were cheaply framed prints, but one was an original by a MSVU alumnae.  This was the only item kept for the archives.","","","","","None","","","ca. 1980","","","","None","","","","","None","","","",""
"513","None","","","1981-25","","","EC Section","","","","","8 October 1981","","","Isobutyl Alcohol and Methyl Pentynol as General Anesthetics for the Lobster, Homarus Americanus Milne-Edwards, Research Paper by Diane Coffin Foley, a biology graduate of MSVU, James E. Steward and R. A. Holley.  Article in Canadian Journal of Zoology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sister Mary Lua Gavin, MSVU Faculty","","","","","None","","","September 20, 1965","","","","None","","","","","None","","","",""
"514","None","","","1981-26","","","GA-21 - returned to President's Office for culling November 2000","","","","","8 October 1981","","","""The education of women"" address given by Sister Alice Michael, PhD on the occasion of her installation as President of Mount Saint Vincent University","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","19 March 1966","","","","None","","","","","None","","","",""
"515","Consult FOIPOP Officer","","","1981-27","","","Unit A, Bay 4, Shelf 1","","","","","8 October 1981","","","Minutes of the Nominations Committee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nominations Committee (Administration)","","","","","None","","","1979-1981","","","","None","","","","","None","","","",""
"516","Copyright belongs to students.   Library fears plagiarism - be alert to who borrows this material.","","","2003-98","","","Unit B, Bay 1, Shelf 4","","","","","16 April 2003","","","Two research assignments submitted for the Mount Saint Vincent University Library Awards, one entitled Challenges facing gifted preschoolers and their families:  How child care workers can help by Sally Colwell, and Forestry Management in Nova Scotia by Shila Wamboldt.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Head Librarian","","","","","None","","","2002","","","","None","","","","","None","","","",""
"517","Consult the Education Department before allowing access.","","","2003-99","","","Unit A, Bay 5, Shelf 2","","","","","16 April 2003","","","Employer files and general office files, co-op student attitude survey, cross discipline co-op meetings, CAFCE lobbying, and general co-op memos and letters.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Co-operative Education Department, sent by Cynthia Mantley, Co-Operative Education Secretary, Internal","","","","","None","","","1982-2001","","","","None","","","","","None","","","",""
"518","None","","","2003-100","","","Unit D, Bay 5, Shelf 6","","","","","4 May 2003","","","Course outlines, all departments
1 - Business Administration
2 - Child and Youth Studies, Gerontology
3 - Political/Canadian Studies, Religious Studies
4 - Pyschology, Women's Studies
5 - Sociology/Anthropology, Fine Arts, Speech and Drama
6 - Biology, Chemistry/Physics, Economics, English
7 - Modern Languages
8 - History, Philosophy, Math/Computers, Computer Science
9 - Education
10 - Graduate Education
11 - Human Ecology
12 - Graduate Human Ecology, Information Management
13 - Public Relations, Tourism/Hospitality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Dean's Office","","","","","1 box","","","1997-1998","","","","None","","","","","None","","","",""
"519","None","","","2003-101","","","artifacts cabinet","","","","","7 May 2003","","","8 copies of the Scholar Pin, some dark blue, some purple, some turquoise","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Office of the Dean of Arts and Science","","","","","None","","","ca. 1980, ca. 1990?","","","","None","","","","","None","","","",""
"520","None","","","2003-102","","","Unit A, Bay 5, Shelf 2","","","","","12 May 2003","","","Convocation programs and invitations for Spring Convocation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","9 May 2003","","","","None","","","","","None","","","",""
"521","none","","","2003-103","","","Reports #115","","","","","May 2003","","","""A Brief Presented to the Royal Commission on Post Secondary Education"", Nova Scotia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","None","","","","","None","","","November 1983","","","","None","","","","","None","","","",""
